Final Coding,Word_count with stopwords,Review_length,NN,NNP,JJ,VB,RB,negative,neutral,positive,Tone_code,Review_Text
1.0,21.0,75.0,49.0,13.0,14.0,0.0,0.0,0.0,0.889,0.111,5,"if you fix this 2 issues, then you will get 5 stars. thank you for the stranger things and the oa"
1.0,30.0,116.0,88.0,11.0,12.0,0.0,0.0,0.0,0.578,0.42200000000000004,5,i hope its good cuz i played all outfit7 games .. but talking ben.. i wish it well its installing today its like..5:42 should in ak. wishes it good for me..
1.0,23.0,70.0,51.0,10.0,10.0,0.0,0.0,0.079,0.602,0.32,5,is love. ever and never haha. she is. i like it and she is kind me ever in the room. me and more
1.0,12.0,37.0,23.0,8.0,3.0,0.0,0.0,0.0,1.0,0.0,0,we need to build a wall will wake me up each day
1.0,12.0,43.0,25.0,8.0,6.0,2.0,0.0,0.203,0.493,0.304,2,i hate this like every game needs this so you can play
1.0,28.0,95.0,72.0,16.0,12.0,0.0,0.0,0.0,0.934,0.066,5,jesus lol but i don't know how to do water and i have the golden skin and i have the golden skin and i have the golden skin
0.0,73.0,237.0,165.0,33.0,35.0,2.0,0.0,0.026000000000000002,0.9470000000000001,0.027000000000000003,5,omg omg omg omg omg omg omg omg that is not a big difference between a rock star and my mom is in the future and i will be in the future and my wife is not a big fan of your company and we can get a chance to see you soon and i will be in the morning and i will be in touch with the following user name is not
0.0,22.0,56.0,51.0,14.0,8.0,0.0,0.0,0.0,1.0,0.0,1,egg is egg us tv tv tv eh if egg uh uh uh egg gb of if if i'm tub helton dozen
0.0,15.0,57.0,39.0,12.0,4.0,1.0,0.0,0.0,0.688,0.312,5,i just wish donald trump my friend will send me $100000 to start my life
0.0,22.0,81.0,64.0,17.0,6.0,1.0,1.0,0.10400000000000001,0.772,0.124,1,if you have a problem for some people that enjoy them self then you have to keep it to your self darth
0.0,22.0,76.0,66.0,12.0,5.0,0.0,0.0,0.107,0.7509999999999999,0.142,1,"do i have a problem with black people of i do then solve it before us ""black people"" solve it for u"
0.0,100.0,367.0,223.0,67.0,46.0,12.0,3.0,0.08800000000000001,0.741,0.171,5,don't read this. you will be kissed on the nearest fridayby the love of your life. tomorrow will be the best day of your life. now you've started reading this. don't stop. this is so freaky. 1. say your name 10 times. 2. say your mom's name 5 times. 3. say your crushes name 3 times. 4. paste this on 4 other games if you do this your crush will kiss you on the nearest friday. but if you read this and do not paste this you will have very bad luck. send this to 4 games in 143 seconds
0.0,52.0,245.0,165.0,30.0,25.0,7.0,0.0,0.086,0.914,0.0,0,netflix will sap your will to live. netflix will control you. netflix will make you have long binges. netflix killed the mom-and-pop video store business. netflix is a giant semi truck crashing into the fabric of american cinema industry and netflix is the pill that trucker took. and it did your mother!
0.0,137.0,528.0,382.0,96.0,68.0,4.0,0.0,0.2,0.7020000000000001,0.09699999999999999,2,"bumholes and ashleigh mobley stinks yes you ashleigh mobley i don't care if you like it or not but don't tell us what to do! if we say something mean then we've said something mean for gods sake! so why don't you go to kindergarten and therapy for the rest of your life! yeah so don't act like your being ""nice"" cos your insulting more people than sticking up for one! if we give a bad review and the creator reads it then they will know to make it better won't they huh?!?! and your a right bossy cow! i don't care if anyone gives me a bad review on my review on you! but if you don't know what i'm talking about then read the stupid review by ""ashleigh mobley""! i'm sure you will hate it!"
0.0,111.0,391.0,278.0,77.0,46.0,8.0,0.0,0.28300000000000003,0.701,0.016,0,do not be mean that is gross you no that that is gross how would you feel being mean being a stranger being a bully people will soon do the same when your old you feel the grossness and yuck that's how sad it is so do not do that you are yuck and gross so never be mean again when you are sick and old you will be sorry ok when your older you will p p in your bed and the doctor gets really tired so she or he just be mean and you take your bad manners away from us!! your gross your bad from a 7year old
0.0,17.0,55.0,36.0,9.0,6.0,1.0,0.0,0.131,0.8690000000000001,0.0,5,"type, and 7 the same thing. it will never be a good day to day of steve34"
0.0,65.0,217.0,146.0,38.0,30.0,8.0,0.0,0.0,0.907,0.09300000000000001,5,doing it because of my favorite things about you all day long but it is not the only thing that has to do with it all in the world is not a problem for you and i don't know how much you want me too much for your birthday and we are all in all of you who are the only thing i can get.
0.0,28.0,113.0,74.0,22.0,14.0,4.0,0.0,0.071,0.736,0.193,0,what do you want bro what do you want bro i'm talking to these nuts in your mouth kid you wouldn't listen to me girl kissing girl hahahahahaha
0.0,10.0,36.0,27.0,5.0,4.0,0.0,0.0,0.0,0.7829999999999999,0.217,1,i really it a lot other people should like it
0.0,27.0,114.0,85.0,13.0,17.0,1.0,0.0,0.235,0.5539999999999999,0.21100000000000002,6,pretty sure after studying the things in this app i'm ready to be president. now i need to paint myself orange and suffer a severe head injury.
1.0,30.0,132.0,89.0,24.0,15.0,1.0,0.0,0.039,0.679,0.282,5,"the only app you'll ever need to hear our great leader, speaking with his strong american voice the words of wisdom that will lead us through our tough times. china"
0.0,8.0,35.0,23.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,5,entertaintment is a must thing in our life
0.0,26.0,106.0,57.0,16.0,16.0,1.0,0.0,0.27,0.73,0.0,0,kala ko ito yung nag ssync ng app data ng laro..hindi pala...lagi ako nag foformat ng phone dahil custom rom user ako too bad hindi pala
0.0,56.0,182.0,148.0,43.0,16.0,1.0,0.0,0.038,0.813,0.149,5,"gvxfrchi fhvujcs blah blah u dgkvjvidfvkgf u ynk fbfkobd hn f j h hvjfxkjvgo h i u c i gift u hvjfxkjvgo j hkhvj j j jvh, but i think the last few weeks u. if you are a lot of fun, but i don't fvvdjcyv so i can say that it is cool beans word"
0.0,27.0,136.0,77.0,12.0,22.0,0.0,0.0,0.0,1.0,0.0,0,otimo aplicativo. porque voces nao liberam funcionar filmes 4k em aparelhos 2k? estou falando da resolucao. com a nova funcao pra baixar os filmes ficou melhor ainda.
1.0,18.0,71.0,49.0,10.0,6.0,0.0,0.0,0.057,0.61,0.33299999999999996,5,i will build a great great wall on our southern border and mexico will pay for that wall.
0.0,23.0,91.0,73.0,10.0,4.0,1.0,0.0,0.133,0.867,0.0,5,"bing bing bing bing ng, china, bing bing bing ng bingbing bing bing ng bing bing bing bing, dont you just love china"
0.0,35.0,128.0,105.0,23.0,9.0,0.0,0.0,0.212,0.5589999999999999,0.228,5,hi im anna cabuco ... i love some body and they dont love me but i say iwill revenge bat some people says to me that find other boy to love its better than to revenge
0.0,20.0,86.0,60.0,12.0,9.0,2.0,0.0,0.0,1.0,0.0,0,entahlah. rasanya erlu benda cemtok gik k men game. byk glak storage yg dipakei. arap ne time erlu benda tok
0.0,19.0,55.0,37.0,8.0,4.0,0.0,0.0,0.0,0.708,0.292,5,i have a great day and i will be a good time to get the same as last year
0.0,45.0,159.0,110.0,32.0,16.0,1.0,1.0,0.048,0.845,0.107,0,alarm work sense help of full mr up llc up leo back if dm lg en of email premarital pro keep kelly ann will vaio do at downstate growth to notify gb vf apartment was was was was so i washed in my pants i
0.0,35.0,108.0,101.0,4.0,15.0,2.0,0.0,0.0,0.24100000000000002,0.759,5,"love it love it love it love it love it love it love it love it love it love it love it love it love it love it love it by the way,call me mist."
0.0,20.0,60.0,66.0,9.0,1.0,1.0,0.0,0.0,0.188,0.812,5,"love it, love it, love it, love it, love it, love it, love it, love it, love it, love it!!!!"
0.0,24.0,86.0,57.0,13.0,14.0,1.0,0.0,0.0,0.753,0.247,5,yr f ududufus the best of luck with that in the 50th anniversary is not the only thing that i can do it again
1.0,60.0,233.0,165.0,24.0,33.0,0.0,0.0,0.111,0.8240000000000001,0.064,2,i just got a new laptop and all i wanted to do was watch stranger things but its completely impossible at this point in time. i watched a total of 3 seconds in 15 minutes time before it started buffering again. i give up! you should at least give us a free month for the stress and waste of time.
1.0,72.0,324.0,225.0,48.0,39.0,3.0,0.0,0.021,0.9309999999999999,0.048,7,"people, don't review the service. we know netflix has/doesn't have this or that show and that's why you love/hate it. review the android app itself. for example, i think that a brightness slider should be included in the app, just like there is a volume slider. also, i don't like that the app pauses what you're watching when sliding down the notification shade. it's ok, but needs more settings and others stuff"
1.0,35.0,149.0,107.0,25.0,16.0,0.0,0.0,0.136,0.56,0.305,3,they keep taking off good shows and movies like every month and its so annoying like wow im paying money every month for this and yet my favorite movies are getting taken off? how dumb
1.0,22.0,96.0,55.0,13.0,18.0,2.0,1.0,0.201,0.742,0.057,6,but after the last update it's become unstable; ot stops several times while i'm watching and the audio voes off. pls fix.
1.0,30.0,120.0,73.0,17.0,19.0,2.0,0.0,0.16,0.84,0.0,1,for some reason the casting icon no longer appears on my netflix ap. i can't cast from netflix and this is the only ap that i'm having this problem with.
1.0,16.0,66.0,48.0,13.0,6.0,0.0,0.0,0.0,0.594,0.406,7,unable to store videos on sd card. would like to save videos for train ride. thanks!
1.0,51.0,225.0,159.0,24.0,24.0,3.0,0.0,0.052000000000000005,0.912,0.036000000000000004,7,it's mostly a good app but the chromecast feature is a little bit buggy as i sometime can't stop/start/pause the video. the controllers is invisible inside the app and there is also no way to control the video in the android notification bar (as i can do with other chromecast apps).
1.0,26.0,122.0,79.0,14.0,19.0,1.0,0.0,0.0,0.8590000000000001,0.141,5,after the recent update it's saying i can't download any movies or shows because i have too many...i have none downloaded though...other then that is great
1.0,22.0,96.0,55.0,13.0,18.0,2.0,1.0,0.201,0.742,0.057,6,but after the last update it's become unstable; ot stops several times while i'm watching and the audio voes off. pls fix.
1.0,30.0,128.0,89.0,20.0,17.0,2.0,0.0,0.0,0.937,0.063,6,"in theory it's good that you can download content for later viewing but, it's pointless if you have to store it on the phone rather than the onboard memory card."
1.0,38.0,185.0,127.0,21.0,27.0,0.0,0.0,0.158,0.716,0.126,5,"i love netflix, but on my hudl it keeps slowing then skipping forward to catch up whenever i watch anything. this makes viewing jumpy, which is very irritating. please fix this!! i have uninstalled and reinstalled multiple times."
1.0,23.0,87.0,72.0,11.0,3.0,0.0,0.0,0.109,0.8909999999999999,0.0,6,when i download videos when i try to watch them i get a message saying there is a problem with the video file
1.0,93.0,409.0,289.0,48.0,50.0,4.0,1.0,0.07,0.892,0.038,6,i would rate it higher if: 1. i could download any movie or show to watch offline. i don't get unlimited data. 2. if they would fix it to automatically retry the downloads when there is a laps in the connection with wifi. i don't want to have to babysit the app just to ensure that something downloads. 3. the ever present download notification bar is in the way when browsing. unfortunately if you swipe it to try to hide it it will automatically delete any pending downloads and will prevent selecting download
1.0,22.0,76.0,50.0,9.0,11.0,1.0,0.0,0.0,0.897,0.10300000000000001,6,"the app itself is neatly designed bit with the last update i can't cast to my tv, i have a nexus 5x."
1.0,27.0,130.0,85.0,11.0,16.0,1.0,0.0,0.0,0.7609999999999999,0.239,1,feature request: add the ability to skip ahead 30 seconds. bug: if i switch profiles chromecast disconnects. but please add the ability to jump ahead 30 seconds
1.0,27.0,128.0,91.0,12.0,17.0,0.0,0.0,0.0,0.903,0.09699999999999999,1,"movies dwindling, british and foreign tv shows eloding. would be nice if foreign language shuts says if it's in a foreign language before i start watching it."
1.0,31.0,141.0,98.0,20.0,16.0,3.0,0.0,0.051,0.9490000000000001,0.0,1,"the chromecast feature glitches more often then it actually works. but i can still use my phone, laptop, and tablet.but that's not the reason i pay. might delete still not fixed"
1.0,27.0,94.0,68.0,18.0,13.0,1.0,0.0,0.0,0.932,0.068,6,the new update won't work on my tablet... i'm going to tokyo and it's a 17 hour flight. would be nice to have some tv shows but....
1.0,44.0,183.0,113.0,37.0,18.0,6.0,0.0,0.055999999999999994,0.895,0.049,6,they should give you the option to download the season instead of downloading the individual episode now i can't save any movies or tv season to my list now you have to do that on the computer bring that ability back to the app
1.0,96.0,397.0,266.0,67.0,47.0,12.0,0.0,0.10800000000000001,0.727,0.165,5,"lately i can't seem to justify your monthly payment. amazon prime and hulu movies are starting to keep up with you. it will be a sad day that i cancel my account with you netflix, but it's coming soon if things don't change. i like the new offline download feature. you have an opportunity to stand apart from the rest. raise your monthly price to whatever it takes to get the best of the best content. or at least make it an option to upgrade for us willing to pay for a premium package. problem solved"
1.0,32.0,98.0,69.0,21.0,12.0,0.0,0.0,0.047,0.813,0.14,3,i never can get the app to load. yes i also made sure it was up to date. it gets really old to pay for this and never get to use it.
1.0,33.0,131.0,96.0,20.0,16.0,0.0,0.0,0.0,0.847,0.153,6,i just wish they'd have a bigger variety of content and i wouldn't need to cancel for a few months every year. but other than that the app itself works and feels fine.
1.0,21.0,102.0,69.0,13.0,12.0,2.0,0.0,0.0,1.0,0.0,3,are you aware that this app is not working properly with chromecast? netflix app shuts down the chromecast every 10 minutes
1.0,14.0,59.0,43.0,6.0,7.0,1.0,0.0,0.098,0.736,0.166,0,i can only download stuff in special wi-fi's. it downloads till 1% and stops
1.0,48.0,224.0,161.0,27.0,25.0,1.0,0.0,0.185,0.674,0.141,2,"what's with the stupid categories? seriously? why isn't there a new release section on this app yet i get one for swedish comedies? come on people, stop the stupid and put categories people are actually interested in. the selection itself on this app is getting pretty stale too."
1.0,20.0,75.0,55.0,11.0,12.0,0.0,0.0,0.145,0.735,0.12,0,"i would have gave 5 stars ,but it keep shutting down on my phone. please fix this problem. moto g"
1.0,18.0,78.0,49.0,11.0,15.0,0.0,0.0,0.10300000000000001,0.897,0.0,7,"there's a lot available that i will never watch. sure a lot of money for only watching""some"" things."
1.0,25.0,101.0,72.0,14.0,12.0,1.0,0.0,0.136,0.6990000000000001,0.165,6,error keeps showing up that i have to many videos downloaded but i don't have any. please fix. it's only for beauty and the beast
1.0,20.0,75.0,55.0,11.0,12.0,0.0,0.0,0.145,0.735,0.12,0,"i would have gave 5 stars ,but it keep shutting down on my phone. please fix this problem. moto g"
1.0,55.0,199.0,144.0,37.0,31.0,1.0,0.0,0.0,0.794,0.20600000000000002,5,it works fine on my xbox but won't let me connect my to my chromocast from my phone. i know it's not the chromocast or my phone because all my other apps work just fine with it. would love if they could fix this so i can watch my shows in my room too. thanks.
1.0,26.0,123.0,86.0,11.0,16.0,0.0,0.0,0.068,0.865,0.067,3,"the content is definitely addictive. but, randomly it stops casting to chromecast. i have to uninstall the app and reinstall it to get it working again."
1.0,26.0,123.0,86.0,11.0,16.0,0.0,0.0,0.068,0.865,0.067,3,"the content is definitely addictive. but, randomly it stops casting to chromecast. i have to uninstall the app and reinstall it to get it working again."
1.0,29.0,118.0,84.0,16.0,11.0,1.0,0.0,0.0,0.892,0.10800000000000001,7,"won't let me watch tv movies or shows. i have app but net flix keeps telling me to install app. i did, gave credit card and other required information"
1.0,42.0,176.0,121.0,34.0,19.0,2.0,0.0,0.115,0.885,0.0,1,my only problem is that netflix download tv series or movies will only be on your device storage space instead of using the micro sd card which sucks because i don't have alot of space to use on my device storage space
1.0,75.0,297.0,222.0,47.0,34.0,1.0,0.0,0.0,0.8809999999999999,0.11900000000000001,5,i love the app but when ever i watch something with subtitles i can't read it because it's in white. if they could change it to yellow or let us choose the color that would be better. i watch a lot of korean dramas and i've noticed that they tend to have a very light colored theme to them so the subtitles just blend in with the background or their shirts and stuff like that.
1.0,35.0,128.0,96.0,24.0,11.0,0.0,0.0,0.11699999999999999,0.589,0.294,5,"i'm am new to netflix, but where are shows like the walking dead, game of thrones or the simpsons. i wish they will be added one day, but so far the app is pretty good."
1.0,21.0,94.0,59.0,15.0,12.0,0.0,1.0,0.07400000000000001,0.9259999999999999,0.0,7,updated the newest version and can't watch a lot of stuff. keeps loading and loading never playing the show or movie.
1.0,75.0,297.0,222.0,47.0,34.0,1.0,0.0,0.0,0.8809999999999999,0.11900000000000001,5,i love the app but when ever i watch something with subtitles i can't read it because it's in white. if they could change it to yellow or let us choose the color that would be better. i watch a lot of korean dramas and i've noticed that they tend to have a very light colored theme to them so the subtitles just blend in with the background or their shirts and stuff like that.
1.0,34.0,136.0,94.0,21.0,22.0,0.0,0.0,0.039,0.833,0.128,1,it was working great until it stopped working with my at home wifi. everything else works but netflix on my wifi. is this a bug? it works just fine using my cell phone data.
1.0,98.0,398.0,269.0,66.0,58.0,2.0,0.0,0.034,0.8909999999999999,0.075,7,"ive no issue with netflix or its content and the previous version of the app was great and very trouble free however since the downloads update 1 area has gone downhill fast, the chromecast functionality. i have 4 users on my account to cover my phone, my tablet and my kids 2 tablets, if i sign my phone out of my account and into 1 of the kids so i can cast something to my bedroom tv for them either the chromecast icon doesn't show or it does show but it wont connect to the chromecast. please fix."
1.0,20.0,88.0,60.0,8.0,14.0,0.0,0.0,0.26,0.74,0.0,2,"i hate that there is a ten second backwards button, but nothing to skip forward in a show/movie. very annoying."
1.0,20.0,88.0,60.0,8.0,14.0,0.0,0.0,0.26,0.74,0.0,2,"i hate that there is a ten second backwards button, but nothing to skip forward in a show/movie. very annoying."
1.0,77.0,313.0,217.0,46.0,37.0,8.0,0.0,0.0,0.868,0.132,5,"every time ive used this, a ""spirit"" has come through. usually male but have had a female voice twice. has never answered my questions. always just random words that don't make sense. ""to know, favorable, weap"" i asked what is your name, how old are you and do i know you. those are the answer i got. thinking it's all prerecorded. i love the concept of this app and that i can record. just doesn't seem real."
1.0,40.0,145.0,95.0,18.0,15.0,3.0,0.0,0.094,0.826,0.08,6,it's freezing and crashing i have tried to reload and tried to start evp and emf and it continues to crash and freeze and i have the htc 10 please fix and i will bump it back to 5 stars
1.0,34.0,153.0,115.0,19.0,18.0,1.0,0.0,0.142,0.807,0.051,5,"the responses are good but now i can't record any more. only recorded once! each time i press ""record"" it stops recording after a second. sucks, had some communication i really wanted to record."
1.0,100.0,428.0,305.0,53.0,48.0,4.0,1.0,0.018000000000000002,0.8759999999999999,0.107,1,"am a little disappointed because it keeps crashing after 4 or 5 minutes after starting. i dowloaded this app around 20 min after my hubby did and it works perfect on his tablet. the only difference is i tried the dutch language and he did the english language and he has version v26 and i got v30. please advice me how to solve this if possible. if not possible i would like to get refunded for the version i bought, but we keep my hubby's version, because that is working and in all honesty that got me intrigued registered trademark"
1.0,25.0,102.0,70.0,14.0,13.0,0.0,0.0,0.21100000000000002,0.6920000000000001,0.09699999999999999,7,i think it picks up cb radios i doubt this was a spirit but ya never know ...feeling rather sceptical but soooooo want to believe
1.0,38.0,140.0,104.0,24.0,18.0,1.0,0.0,0.064,0.737,0.198,5,it seems cool i like it but why can't you listen to the recording of it everything else is fine but i want to listen to recording does someone no how to or can this plz get fixed
1.0,41.0,171.0,122.0,29.0,16.0,4.0,2.0,0.21600000000000003,0.7340000000000001,0.05,6,"had to reload on phone a few times. there was a problem with the log not being recorded ( everytime ). though the problem may have been weak signal. though there were a few clear words, on the recording, on a weak signal."
1.0,196.0,807.0,579.0,141.0,82.0,4.0,3.0,0.063,0.873,0.064,4,"i like how the emf meter uses the same tech as other apps making hard to fake because they display the same numbers when i switch.how ever the ""entities"" dont communicate with you at all. its just random words every few minutes. i never get a yes or no or a question answered. it goes from something like... ""cuban"" ""car"" investigation"" ""run"". but the weird thing is it said my neighbors middle name the said her intials..later it said ""cop"" and there were cops outside the apartment building. i wish there were better details on how the app works. i dont know how to go back and listen to where it will display the words from the session. or if an option exists. it only does it live and half the time has a problem not understanding what it said. it only does this calibrated but it takes forever. every few minutes it will say ""entity detected"" but it wont say when they leave. you figure it would have that option as well. every few minutes you get random words and some of them can be creepy esp if the relate to you in some way"
1.0,20.0,72.0,58.0,9.0,7.0,1.0,0.0,0.0,1.0,0.0,0,it actually picks up voices but i can't listen to any i've recorded. how do i get that to work
1.0,20.0,72.0,58.0,9.0,7.0,1.0,0.0,0.0,1.0,0.0,0,it actually picks up voices but i can't listen to any i've recorded. how do i get that to work
1.0,15.0,59.0,36.0,5.0,10.0,1.0,0.0,0.114,0.755,0.131,7,could be a 5 stare app if it didn't constantly crash please fix this issue
1.0,26.0,101.0,73.0,23.0,11.0,2.0,0.0,0.0,1.0,0.0,0,needs more thing you can make with test tube and the grown ups thing keeps popping up that makes it so you can't see the screen
1.0,23.0,80.0,44.0,16.0,12.0,5.0,0.0,0.0,0.695,0.305,5,i wish you could make my talking ben just like you made tom 's and angela's. that way i can have more fun.
1.0,16.0,59.0,35.0,9.0,5.0,0.0,0.0,0.0,0.7959999999999999,0.204,5,we can't say that it's a mind-blowing game but can call it a good time waster.....
1.0,19.0,68.0,46.0,12.0,7.0,3.0,0.0,0.0,0.7190000000000001,0.281,6,"but i wish you could use the camera in the lab, and bring back the picture to play with"
1.0,19.0,68.0,46.0,12.0,7.0,3.0,0.0,0.0,0.7190000000000001,0.281,6,"but i wish you could use the camera in the lab, and bring back the picture to play with"
